Product_ID,Product_Type,Skin_Tone_Category,Undertone,Product_Shade_Name,RGB_Value,HSV_Value
37,Eyeshadow,Dark,Warm,Copper Blaze,"(184, 115, 51)","(25, 72, 72)"
38,Eyeshadow,Dark,Cool,Deep Plum,"(102, 0, 102)","(300, 100, 40)"
39,Eyeshadow,Dark,Neutral,Charcoal Smoke,"(54, 69, 79)","(210, 32, 31)"
40,Eyeshadow,Medium,Warm,Burnished Gold,"(218, 165, 32)","(43, 85, 85)"
41,Eyeshadow,Light,Warm,Sunset Peach,"(255, 204, 153)","(30, 40, 100)"
42,Eyeshadow,Dark,Neutral,Midnight Sapphire,"(8, 37, 103)","(226, 92, 40)"
43,Eyeshadow,Medium,Cool,Dusty Lilac,"(153, 102, 204)","(270, 50, 80)"
44,Eyeshadow,Light,Neutral,Ivory Pearl,"(255, 255, 240)","(60, 6, 100)"
45,Eyeshadow,Dark,Warm,Bronze Glow,"(205, 127, 50)","(35, 76, 80)"
46,Eyeshadow,Medium,Neutral,Olive Green,"(107, 142, 35)","(80, 75, 56)"
47,Eyeshadow,Medium,Warm,Sienna Smoke,"(136, 45, 23)","(9, 83, 53)"
48,Eyeshadow,Dark,Cool,Violet Night,"(48, 25, 52)","(288, 52, 20)"
49,Eyeshadow,Light,Cool,Pastel Sky,"(176, 196, 222)","(210, 21, 87)"
50,Blush,Medium,Neutral,Muted Rose,"(216, 114, 118)","(358, 47, 85)"
51,Blush,Dark,Warm,Amber Glow,"(194, 93, 58)","(17, 70, 76)"
52,Lipstick,Medium,Cool,Magenta Crush,"(255, 0, 144)","(322, 100, 100)"
53,Lipstick,Dark,Warm,Rich Cocoa,"(111, 66, 38)","(25, 66, 44)"
54,Foundation,Light,Neutral,Vanilla Cream,"(255, 240, 200)","(35, 21, 100)"
55,Blush,Light,Warm,Soft Apricot,"(255, 221, 179)","(30, 30, 100)"
56,Eyeshadow,Medium,Warm,Golden Olive,"(107, 142, 35)","(80, 75, 56)"
57,Eyeshadow,Dark,Neutral,Charcoal Mist,"(54, 57, 60)","(210, 10, 24)"
58,Lipstick,Medium,Warm,Terracotta Rose,"(204, 85, 0)","(20, 100, 80)"
59,Lipstick,Light,Neutral,Pink Whisper,"(255, 192, 203)","(350, 25, 100)"
60,Eyeshadow,Light,Warm,Golden Sunset,"(255, 223, 127)","(45, 50, 100)"
