Subcategory,Skin_Tone_RGB,Clothing_Recommendations
Espresso Brown,"(90, 50, 40)","Bold outfits in colors like RGB (40, 80, 90). Harmonious styles with colors like RGB (90, 74, 40) and RGB (90, 40, 54). Neutrals or monochromatic variations of RGB (90, 50, 40) for daily wear."
Cool,"(70, 40, 40)","Bold outfits in colors like RGB (40, 70, 70). Harmonious styles with colors like RGB (70, 54, 40) and RGB (70, 40, 54). Neutrals or monochromatic variations of RGB (70, 40, 40) for daily wear."
Neutral,"(60, 30, 30)","Bold outfits in colors like RGB (30, 60, 60). Harmonious styles with colors like RGB (60, 44, 30) and RGB (60, 30, 44). Neutrals or monochromatic variations of RGB (60, 30, 30) for daily wear."
Warm,"(80, 50, 40)","Bold outfits in colors like RGB (40, 70, 80). Harmonious styles with colors like RGB (80, 69, 40) and RGB (80, 40, 49). Neutrals or monochromatic variations of RGB (80, 50, 40) for daily wear."
Deep Mahogany,"(80, 40, 40)","Bold outfits in colors like RGB (40, 80, 80). Harmonious styles with colors like RGB (80, 59, 40) and RGB (80, 40, 59). Neutrals or monochromatic variations of RGB (80, 40, 40) for daily wear."
Burnt Umber,"(70, 30, 30)","Bold outfits in colors like RGB (29, 70, 70). Harmonious styles with colors like RGB (70, 49, 29) and RGB (70, 29, 49). Neutrals or monochromatic variations of RGB (70, 30, 30) for daily wear."
Cool,"(50, 30, 30)","Bold outfits in colors like RGB (30, 50, 50). Harmonious styles with colors like RGB (50, 39, 30) and RGB (50, 30, 39). Neutrals or monochromatic variations of RGB (50, 30, 30) for daily wear."
Neutral,"(40, 20, 20)","Bold outfits in colors like RGB (20, 40, 40). Harmonious styles with colors like RGB (40, 29, 20) and RGB (40, 20, 29). Neutrals or monochromatic variations of RGB (40, 20, 20) for daily wear."
Warm,"(60, 40, 30)","Bold outfits in colors like RGB (30, 49, 60). Harmonious styles with colors like RGB (60, 54, 30) and RGB (60, 30, 34). Neutrals or monochromatic variations of RGB (60, 40, 30) for daily wear."
Velvet Ebony,"(50, 30, 20)","Bold outfits in colors like RGB (20, 40, 50). Harmonious styles with colors like RGB (50, 44, 20) and RGB (50, 20, 24). Neutrals or monochromatic variations of RGB (50, 30, 20) for daily wear."
Obsidian,"(40, 20, 20)","Bold outfits in colors like RGB (20, 40, 40). Harmonious styles with colors like RGB (40, 29, 20) and RGB (40, 20, 29). Neutrals or monochromatic variations of RGB (40, 20, 20) for daily wear."
Cool,"(30, 20, 20)","Bold outfits in colors like RGB (20, 30, 30). Harmonious styles with colors like RGB (30, 24, 20) and RGB (30, 20, 24). Neutrals or monochromatic variations of RGB (30, 20, 20) for daily wear."
Neutral,"(20, 10, 10)","Bold outfits in colors like RGB (10, 20, 20). Harmonious styles with colors like RGB (20, 14, 10) and RGB (20, 10, 14). Neutrals or monochromatic variations of RGB (20, 10, 10) for daily wear."
Warm,"(40, 20, 10)","Bold outfits in colors like RGB (10, 29, 40). Harmonious styles with colors like RGB (40, 34, 10) and RGB (40, 10, 14). Neutrals or monochromatic variations of RGB (40, 20, 10) for daily wear."
Deep Jet,"(30, 10, 20)","Bold outfits in colors like RGB (10, 30, 19). Harmonious styles with colors like RGB (30, 10, 10) and RGB (30, 10, 29). Neutrals or monochromatic variations of RGB (30, 10, 20) for daily wear."
Shadow Black,"(20, 10, 10)","Bold outfits in colors like RGB (10, 20, 20). Harmonious styles with colors like RGB (20, 14, 10) and RGB (20, 10, 14). Neutrals or monochromatic variations of RGB (20, 10, 10) for daily wear."
Golden Tan with Pink,"(240, 180, 150)","Bold outfits in colors like RGB (150, 210, 240). Harmonious styles with colors like RGB (240, 224, 150) and RGB (240, 150, 164). Neutrals or monochromatic variations of RGB (240, 180, 150) for daily wear."
Deep Olive with Red,"(180, 100, 90)","Bold outfits in colors like RGB (90, 170, 180). Harmonious styles with colors like RGB (180, 144, 90) and RGB (180, 90, 124). Neutrals or monochromatic variations of RGB (180, 100, 90) for daily wear."
Light Tan with Olive,"(200, 170, 140)","Bold outfits in colors like RGB (140, 170, 200). Harmonious styles with colors like RGB (200, 199, 140) and RGB (200, 140, 140). Neutrals or monochromatic variations of RGB (200, 170, 140) for daily wear."
Frosted Peach,"(255, 240, 230)","Bold outfits in colors like RGB (230, 245, 255). Harmonious styles with colors like RGB (255, 252, 230) and RGB (255, 230, 232). Neutrals or monochromatic variations of RGB (255, 240, 230) for daily wear."
Arctic Alabaster,"(250, 250, 245)","Bold outfits in colors like RGB (245, 245, 250). Harmonious styles with colors like RGB (247, 250, 245) and RGB (250, 247, 245). Neutrals or monochromatic variations of RGB (250, 250, 245) for daily wear."
Snow Glow,"(240, 250, 250)","Bold outfits in colors like RGB (250, 240, 240). Harmonious styles with colors like RGB (240, 245, 250) and RGB (240, 250, 245). Neutrals or monochromatic variations of RGB (240, 250, 250) for daily wear."
Cream Pearl,"(245, 235, 225)","Bold outfits in colors like RGB (225, 235, 245). Harmonious styles with colors like RGB (245, 244, 225) and RGB (245, 225, 225). Neutrals or monochromatic variations of RGB (245, 235, 225) for daily wear."
Porcelain Pink,"(255, 220, 215)","Bold outfits in colors like RGB (215, 250, 255). Harmonious styles with colors like RGB (255, 239, 215) and RGB (255, 215, 229). Neutrals or monochromatic variations of RGB (255, 220, 215) for daily wear."
Warm Sand,"(255, 230, 210)","Bold outfits in colors like RGB (210, 235, 255). Harmonious styles with colors like RGB (255, 252, 210) and RGB (255, 210, 212). Neutrals or monochromatic variations of RGB (255, 230, 210) for daily wear."
Rose Gold,"(245, 215, 200)","Bold outfits in colors like RGB (200, 230, 245). Harmonious styles with colors like RGB (245, 237, 200) and RGB (245, 200, 207). Neutrals or monochromatic variations of RGB (245, 215, 200) for daily wear."
Honey Buff,"(240, 220, 190)","Bold outfits in colors like RGB (190, 209, 240). Harmonious styles with colors like RGB (235, 240, 190) and RGB (240, 195, 190). Neutrals or monochromatic variations of RGB (240, 220, 190) for daily wear."
Apricot Beige,"(250, 210, 180)","Bold outfits in colors like RGB (180, 220, 250). Harmonious styles with colors like RGB (250, 244, 180) and RGB (250, 180, 184). Neutrals or monochromatic variations of RGB (250, 210, 180) for daily wear."
Sandstone,"(220, 190, 160)","Bold outfits in colors like RGB (160, 190, 220). Harmonious styles with colors like RGB (220, 219, 160) and RGB (220, 160, 160). Neutrals or monochromatic variations of RGB (220, 190, 160) for daily wear."
Beige Olive,"(210, 180, 160)","Bold outfits in colors like RGB (159, 189, 210). Harmonious styles with colors like RGB (210, 204, 159) and RGB (210, 159, 164). Neutrals or monochromatic variations of RGB (210, 180, 160) for daily wear."
Honey Peach,"(230, 200, 160)","Bold outfits in colors like RGB (160, 190, 230). Harmonious styles with colors like RGB (225, 230, 160) and RGB (230, 165, 160). Neutrals or monochromatic variations of RGB (230, 200, 160) for daily wear."
Sun-Kissed Copper,"(200, 150, 120)","Bold outfits in colors like RGB (120, 170, 200). Harmonious styles with colors like RGB (200, 189, 120) and RGB (200, 120, 129). Neutrals or monochromatic variations of RGB (200, 150, 120) for daily wear."
Cinnamon Sand,"(190, 140, 110)","Bold outfits in colors like RGB (110, 160, 190). Harmonious styles with colors like RGB (190, 179, 110) and RGB (190, 110, 119). Neutrals or monochromatic variations of RGB (190, 140, 110) for daily wear."
Terra Bronze,"(180, 120, 100)","Bold outfits in colors like RGB (100, 160, 180). Harmonious styles with colors like RGB (180, 159, 100) and RGB (180, 100, 119). Neutrals or monochromatic variations of RGB (180, 120, 100) for daily wear."
Amber Glow,"(170, 110, 90)","Bold outfits in colors like RGB (90, 149, 170). Harmonious styles with colors like RGB (170, 149, 90) and RGB (170, 90, 109). Neutrals or monochromatic variations of RGB (170, 110, 90) for daily wear."
Deep Caramel,"(160, 100, 80)","Bold outfits in colors like RGB (80, 140, 160). Harmonious styles with colors like RGB (160, 139, 80) and RGB (160, 80, 99). Neutrals or monochromatic variations of RGB (160, 100, 80) for daily wear."
Chocolate Olive,"(150, 90, 70)","Bold outfits in colors like RGB (70, 130, 150). Harmonious styles with colors like RGB (150, 129, 70) and RGB (150, 70, 89). Neutrals or monochromatic variations of RGB (150, 90, 70) for daily wear."
Bronze Olive,"(140, 100, 80)","Bold outfits in colors like RGB (80, 120, 140). Harmonious styles with colors like RGB (140, 129, 80) and RGB (140, 80, 89). Neutrals or monochromatic variations of RGB (140, 100, 80) for daily wear."
Cool Taupe,"(130, 90, 80)","Bold outfits in colors like RGB (80, 119, 130). Harmonious styles with colors like RGB (130, 114, 80) and RGB (130, 80, 94). Neutrals or monochromatic variations of RGB (130, 90, 80) for daily wear."
Burnt Gold,"(150, 100, 70)","Bold outfits in colors like RGB (70, 120, 150). Harmonious styles with colors like RGB (150, 139, 70) and RGB (150, 70, 79). Neutrals or monochromatic variations of RGB (150, 100, 70) for daily wear."
Warm Chestnut,"(120, 80, 60)","Bold outfits in colors like RGB (60, 99, 120). Harmonious styles with colors like RGB (120, 109, 60) and RGB (120, 60, 69). Neutrals or monochromatic variations of RGB (120, 80, 60) for daily wear."
Mocha Glow,"(100, 70, 50)","Bold outfits in colors like RGB (50, 80, 100). Harmonious styles with colors like RGB (100, 94, 50) and RGB (100, 50, 54). Neutrals or monochromatic variations of RGB (100, 70, 50) for daily wear."
Redwood Brown,"(110, 60, 50)","Bold outfits in colors like RGB (49, 99, 110). Harmonious styles with colors like RGB (110, 89, 49) and RGB (110, 49, 69). Neutrals or monochromatic variations of RGB (110, 60, 50) for daily wear."
Blackened Copper,"(90, 40, 30)","Bold outfits in colors like RGB (29, 79, 90). Harmonious styles with colors like RGB (90, 69, 29) and RGB (90, 29, 49). Neutrals or monochromatic variations of RGB (90, 40, 30) for daily wear."
Midnight Auburn,"(80, 40, 30)","Bold outfits in colors like RGB (30, 69, 80). Harmonious styles with colors like RGB (80, 64, 30) and RGB (80, 30, 44). Neutrals or monochromatic variations of RGB (80, 40, 30) for daily wear."
Charred Walnut,"(70, 30, 30)","Bold outfits in colors like RGB (29, 70, 70). Harmonious styles with colors like RGB (70, 49, 29) and RGB (70, 29, 49). Neutrals or monochromatic variations of RGB (70, 30, 30) for daily wear."
Onyx Brown,"(60, 30, 30)","Bold outfits in colors like RGB (30, 60, 60). Harmonious styles with colors like RGB (60, 44, 30) and RGB (60, 30, 44). Neutrals or monochromatic variations of RGB (60, 30, 30) for daily wear."
Sapphire Black,"(50, 20, 30)","Bold outfits in colors like RGB (20, 50, 40). Harmonious styles with colors like RGB (50, 24, 20) and RGB (50, 20, 44). Neutrals or monochromatic variations of RGB (50, 20, 30) for daily wear."
Jet Shadow,"(40, 20, 20)","Bold outfits in colors like RGB (20, 40, 40). Harmonious styles with colors like RGB (40, 29, 20) and RGB (40, 20, 29). Neutrals or monochromatic variations of RGB (40, 20, 20) for daily wear."
Blue Coal,"(30, 10, 20)","Bold outfits in colors like RGB (10, 30, 19). Harmonious styles with colors like RGB (30, 10, 10) and RGB (30, 10, 29). Neutrals or monochromatic variations of RGB (30, 10, 20) for daily wear."
Rosewood Olive,"(190, 130, 100)","Bold outfits in colors like RGB (100, 160, 190). Harmonious styles with colors like RGB (190, 174, 100) and RGB (190, 100, 114). Neutrals or monochromatic variations of RGB (190, 130, 100) for daily wear."
Gold Bronze,"(200, 150, 90)","Bold outfits in colors like RGB (90, 139, 200). Harmonious styles with colors like RGB (195, 200, 90) and RGB (200, 95, 90). Neutrals or monochromatic variations of RGB (200, 150, 90) for daily wear."
Deep Caramel Olive,"(170, 100, 70)","Bold outfits in colors like RGB (70, 139, 170). Harmonious styles with colors like RGB (170, 149, 70) and RGB (170, 70, 89). Neutrals or monochromatic variations of RGB (170, 100, 70) for daily wear."
Ice Peach,"(255, 245, 240)","Bold outfits in colors like RGB (240, 250, 255). Harmonious styles with colors like RGB (255, 252, 240) and RGB (255, 240, 242). Neutrals or monochromatic variations of RGB (255, 245, 240) for daily wear."
Alabaster Glow,"(250, 240, 235)","Bold outfits in colors like RGB (235, 244, 250). Harmonious styles with colors like RGB (250, 247, 235) and RGB (250, 235, 237). Neutrals or monochromatic variations of RGB (250, 240, 235) for daily wear."
Pearl Frost,"(240, 250, 245)","Bold outfits in colors like RGB (250, 240, 244). Harmonious styles with colors like RGB (240, 250, 249) and RGB (240, 250, 240). Neutrals or monochromatic variations of RGB (240, 250, 245) for daily wear."
Rosy Cream,"(255, 230, 220)","Bold outfits in colors like RGB (220, 245, 255). Harmonious styles with colors like RGB (255, 247, 220) and RGB (255, 220, 227). Neutrals or monochromatic variations of RGB (255, 230, 220) for daily wear."
Champagne Mist,"(255, 240, 220)","Bold outfits in colors like RGB (220, 235, 255). Harmonious styles with colors like RGB (252, 255, 220) and RGB (255, 222, 220). Neutrals or monochromatic variations of RGB (255, 240, 220) for daily wear."
Lily White,"(245, 250, 240)","Bold outfits in colors like RGB (244, 240, 250). Harmonious styles with colors like RGB (240, 250, 240) and RGB (249, 250, 240). Neutrals or monochromatic variations of RGB (245, 250, 240) for daily wear."
Honey Pearl,"(245, 220, 200)","Bold outfits in colors like RGB (200, 225, 245). Harmonious styles with colors like RGB (245, 242, 200) and RGB (245, 200, 202). Neutrals or monochromatic variations of RGB (245, 220, 200) for daily wear."
Soft Coral,"(250, 210, 190)","Bold outfits in colors like RGB (190, 229, 250). Harmonious styles with colors like RGB (250, 239, 190) and RGB (250, 190, 199). Neutrals or monochromatic variations of RGB (250, 210, 190) for daily wear."
Warm Apricot,"(250, 200, 170)","Bold outfits in colors like RGB (170, 219, 250). Harmonious styles with colors like RGB (250, 239, 170) and RGB (250, 170, 179). Neutrals or monochromatic variations of RGB (250, 200, 170) for daily wear."
Sandy Buff,"(230, 200, 170)","Bold outfits in colors like RGB (170, 200, 230). Harmonious styles with colors like RGB (230, 229, 170) and RGB (230, 170, 170). Neutrals or monochromatic variations of RGB (230, 200, 170) for daily wear."
Pale Gold,"(240, 210, 170)","Bold outfits in colors like RGB (170, 200, 240). Harmonious styles with colors like RGB (235, 240, 170) and RGB (240, 175, 170). Neutrals or monochromatic variations of RGB (240, 210, 170) for daily wear."
Peach Olive,"(220, 190, 160)","Bold outfits in colors like RGB (160, 190, 220). Harmonious styles with colors like RGB (220, 219, 160) and RGB (220, 160, 160). Neutrals or monochromatic variations of RGB (220, 190, 160) for daily wear."
Warm Amber,"(200, 150, 120)","Bold outfits in colors like RGB (120, 170, 200). Harmonious styles with colors like RGB (200, 189, 120) and RGB (200, 120, 129). Neutrals or monochromatic variations of RGB (200, 150, 120) for daily wear."
Mocha Sand,"(190, 140, 120)","Bold outfits in colors like RGB (120, 170, 190). Harmonious styles with colors like RGB (190, 174, 120) and RGB (190, 120, 134). Neutrals or monochromatic variations of RGB (190, 140, 120) for daily wear."
Reddish Copper,"(180, 130, 100)","Bold outfits in colors like RGB (100, 150, 180). Harmonious styles with colors like RGB (180, 169, 100) and RGB (180, 100, 109). Neutrals or monochromatic variations of RGB (180, 130, 100) for daily wear."
Chocolate Gold,"(170, 110, 90)","Bold outfits in colors like RGB (90, 149, 170). Harmonious styles with colors like RGB (170, 149, 90) and RGB (170, 90, 109). Neutrals or monochromatic variations of RGB (170, 110, 90) for daily wear."
Caramel Bronze,"(160, 100, 80)","Bold outfits in colors like RGB (80, 140, 160). Harmonious styles with colors like RGB (160, 139, 80) and RGB (160, 80, 99). Neutrals or monochromatic variations of RGB (160, 100, 80) for daily wear."
Cinnamon Olive,"(150, 90, 70)","Bold outfits in colors like RGB (70, 130, 150). Harmonious styles with colors like RGB (150, 129, 70) and RGB (150, 70, 89). Neutrals or monochromatic variations of RGB (150, 90, 70) for daily wear."
Deep Taupe,"(140, 100, 80)","Bold outfits in colors like RGB (80, 120, 140). Harmonious styles with colors like RGB (140, 129, 80) and RGB (140, 80, 89). Neutrals or monochromatic variations of RGB (140, 100, 80) for daily wear."
Warm Sandstone,"(150, 110, 80)","Bold outfits in colors like RGB (80, 120, 150). Harmonious styles with colors like RGB (150, 144, 80) and RGB (150, 80, 84). Neutrals or monochromatic variations of RGB (150, 110, 80) for daily wear."
Rusted Olive,"(140, 90, 70)","Bold outfits in colors like RGB (70, 119, 140). Harmonious styles with colors like RGB (140, 124, 70) and RGB (140, 70, 84). Neutrals or monochromatic variations of RGB (140, 90, 70) for daily wear."
Warm Espresso,"(120, 80, 60)","Bold outfits in colors like RGB (60, 99, 120). Harmonious styles with colors like RGB (120, 109, 60) and RGB (120, 60, 69). Neutrals or monochromatic variations of RGB (120, 80, 60) for daily wear."
Auburn Glow,"(110, 70, 50)","Bold outfits in colors like RGB (49, 89, 110). Harmonious styles with colors like RGB (110, 99, 49) and RGB (110, 49, 59). Neutrals or monochromatic variations of RGB (110, 70, 50) for daily wear."
Deep Sienna,"(100, 60, 50)","Bold outfits in colors like RGB (50, 89, 100). Harmonious styles with colors like RGB (100, 84, 50) and RGB (100, 50, 64). Neutrals or monochromatic variations of RGB (100, 60, 50) for daily wear."
Charcoal Auburn,"(80, 40, 30)","Bold outfits in colors like RGB (30, 69, 80). Harmonious styles with colors like RGB (80, 64, 30) and RGB (80, 30, 44). Neutrals or monochromatic variations of RGB (80, 40, 30) for daily wear."
Bronze Ebony,"(90, 50, 40)","Bold outfits in colors like RGB (40, 80, 90). Harmonious styles with colors like RGB (90, 74, 40) and RGB (90, 40, 54). Neutrals or monochromatic variations of RGB (90, 50, 40) for daily wear."
Cool Graphite,"(70, 40, 30)","Bold outfits in colors like RGB (29, 60, 70). Harmonious styles with colors like RGB (70, 59, 29) and RGB (70, 29, 39). Neutrals or monochromatic variations of RGB (70, 40, 30) for daily wear."
Black Chestnut,"(60, 30, 30)","Bold outfits in colors like RGB (30, 60, 60). Harmonious styles with colors like RGB (60, 44, 30) and RGB (60, 30, 44). Neutrals or monochromatic variations of RGB (60, 30, 30) for daily wear."
Jet Indigo,"(50, 20, 30)","Bold outfits in colors like RGB (20, 50, 40). Harmonious styles with colors like RGB (50, 24, 20) and RGB (50, 20, 44). Neutrals or monochromatic variations of RGB (50, 20, 30) for daily wear."
Cool Sapphire,"(40, 10, 20)","Bold outfits in colors like RGB (10, 40, 29). Harmonious styles with colors like RGB (40, 14, 10) and RGB (40, 10, 34). Neutrals or monochromatic variations of RGB (40, 10, 20) for daily wear."
Warm Coal,"(50, 20, 10)","Bold outfits in colors like RGB (9, 40, 50). Harmonious styles with colors like RGB (50, 39, 9) and RGB (50, 9, 19). Neutrals or monochromatic variations of RGB (50, 20, 10) for daily wear."
Russet Olive,"(180, 120, 100)","Bold outfits in colors like RGB (100, 160, 180). Harmonious styles with colors like RGB (180, 159, 100) and RGB (180, 100, 119). Neutrals or monochromatic variations of RGB (180, 120, 100) for daily wear."
Golden Rose,"(200, 150, 120)","Bold outfits in colors like RGB (120, 170, 200). Harmonious styles with colors like RGB (200, 189, 120) and RGB (200, 120, 129). Neutrals or monochromatic variations of RGB (200, 150, 120) for daily wear."
Bronze Honey,"(170, 110, 90)","Bold outfits in colors like RGB (90, 149, 170). Harmonious styles with colors like RGB (170, 149, 90) and RGB (170, 90, 109). Neutrals or monochromatic variations of RGB (170, 110, 90) for daily wear."
Pearl Glow,"(250, 245, 240)","Bold outfits in colors like RGB (240, 244, 250). Harmonious styles with colors like RGB (250, 249, 240) and RGB (250, 240, 240). Neutrals or monochromatic variations of RGB (250, 245, 240) for daily wear."
Ice Quartz,"(240, 250, 255)","Bold outfits in colors like RGB (255, 245, 240). Harmonious styles with colors like RGB (240, 242, 255) and RGB (240, 255, 252). Neutrals or monochromatic variations of RGB (240, 250, 255) for daily wear."
Moonstone,"(245, 240, 250)","Bold outfits in colors like RGB (244, 250, 240). Harmonious styles with colors like RGB (249, 240, 250) and RGB (240, 240, 250). Neutrals or monochromatic variations of RGB (245, 240, 250) for daily wear."
Petal Pink,"(255, 225, 220)","Bold outfits in colors like RGB (220, 250, 255). Harmonious styles with colors like RGB (255, 242, 220) and RGB (255, 220, 232). Neutrals or monochromatic variations of RGB (255, 225, 220) for daily wear."
Winter Rose,"(250, 220, 230)","Bold outfits in colors like RGB (220, 250, 239). Harmonious styles with colors like RGB (250, 224, 220) and RGB (250, 220, 244). Neutrals or monochromatic variations of RGB (250, 220, 230) for daily wear."
White Almond,"(255, 240, 220)","Bold outfits in colors like RGB (220, 235, 255). Harmonious styles with colors like RGB (252, 255, 220) and RGB (255, 222, 220). Neutrals or monochromatic variations of RGB (255, 240, 220) for daily wear."
