category,Subcategory,Characteristics,Examples,Regions,"Approx. RGB (R,G,B)"
Dark-Deep (Va),Cool,Very dark brown with bluish undertones,"Deep Ebony, Cool Onyx","Africa, South Asia","(70, 40, 40)"
,Neutral,Very dark brown with neutral undertones,"Neutral Ebony, Deep Cocoa","Africa, Caribbean","(60, 30, 30)"
,Warm,Very dark brown with golden undertones,"Golden Ebony, Warm Espresso","Africa, South America","(80, 50, 40)"
,Deep Mahogany,Very dark brown with reddish or golden hues,"Red Ebony, Warm Walnut","Africa, Papua New Guinea","(80, 40, 40)"
,Burnt Umber,Dark brown with a neutral reddish hue,"Cocoa Bean, Sable Brown","Africa, South America","(70, 30, 30)"
Very Dark (VI),Cool,Extremely dark with bluish undertones,"Deep Indigo, Cool Sable","Africa, Australia","(50, 30, 30)"
,Neutral,Deep tones with neutral balance,"Midnight Cocoa, Charcoal Brown","Africa, Caribbean","(40, 20, 20)"
,Warm,Extremely dark with golden or reddish undertones,"Warm Mahogany, Deep Amber","Africa, South America","(60, 40, 30)"
,Velvet Ebony,Black-brown tones with neutral undertones,"Charcoal Black, Dark Earth","Africa, Caribbean","(50, 30, 20)"
,Obsidian,Jet-black tones with a subtle cool sheen,"Onyx Black, Midnight Black","Africa, Oceania","(40, 20, 20)"
Ultra Dark (VII),Cool,Near-black tones with a subtle blue tint,"Blue-Black, Cool Onyx","Africa, Oceania","(30, 20, 20)"
,Neutral,Extremely dark with balanced undertones,"Charcoal Neutral, Deep Earth","Africa, Papua New Guinea","(20, 10, 10)"
,Warm,Darkest tones with a warm golden shimmer,"Rich Ebony, Warm Coal","Africa, Amazonian Regions","(40, 20, 10)"
,Deep Jet,Near-black tones with a bluish tint,"Blue Obsidian, Cool Onyx","Africa, Papua New Guinea","(30, 10, 20)"
,Shadow Black,Neutral black tones with minimal undertones,"Shadow Ebony, Deep Charcoal","Africa, Amazonian Regions","(20, 10, 10)"
Mixed Tones,Golden Tan with Pink,Golden base with pink overtones,"Rosy Tan, Sunset Beige","Latin America, Mediterranean","(240, 180, 150)"
,Deep Olive with Red,Olive base with subtle reddish undertones,"Warm Russet, Dusky Copper","Middle East, North Africa","(180, 100, 90)"
,Light Tan with Olive,Fair skin with a slight olive tint,"Cool Buff, Soft Olive","East Asia, South Europe","(200, 170, 140)"
Ultra Pale (0),Frosted Peach,Extremely pale with a soft peach tint,"Frosted Peach, Blush Mist","Scandinavia, Arctic Regions","(255, 240, 230)"
,Arctic Alabaster,Near-white with no visible warmth or pink hues,"Ice White, Arctic Alabaster","Arctic, Nordic Regions","(250, 250, 245)"
,Snow Glow,Pale with a cool blue undertone,"Icy Glow, Cool Mist","Northern Europe, Arctic","(240, 250, 250)"
Very Light (I),Cream Pearl,Very light tones with subtle creamy undertones,"Cream Pearl, Ivory Beige",Northern Europe,"(245, 235, 225)"
,Porcelain Pink,Pale with a stronger pink base,"Rosy Ivory, Soft Rose","Northern Europe, East Asia","(255, 220, 215)"
,Warm Sand,Light ivory tones with subtle golden warmth,"Pale Sand, Golden Ivory","Eastern Europe, Mediterranean","(255, 230, 210)"
Light (II),Rose Gold,Fair skin with a mix of warm gold and pink,"Rose Beige, Golden Pink","Western Europe, North America","(245, 215, 200)"
,Honey Buff,Beige tones with a soft honey warmth,"Light Honey, Golden Beige","North America, Australia","(240, 220, 190)"
,Apricot Beige,Light skin with a soft apricot tone,"Apricot Glow, Peach Beige","Southern Europe, Mediterranean","(250, 210, 180)"
Medium-Light (IIa),Sandstone,Beige tones with a deeper sandy hue,"Light Sandstone, Desert Glow","Mediterranean, Middle East","(220, 190, 160)"
,Beige Olive,Balanced light beige with an olive undertone,"Olive Beige, Pale Olive","Mediterranean, East Asia","(210, 180, 160)"
,Honey Peach,Light tones with a peachy golden warmth,"Honey Peach, Golden Buff","Latin America, South Asia","(230, 200, 160)"
Medium (III),Sun-Kissed Copper,Tan skin with a rich copper glow,"Warm Copper, Sunset Tan","Middle East, South America","(200, 150, 120)"
,Cinnamon Sand,Balanced tan tones with a soft cinnamon warmth,"Warm Cinnamon, Golden Sand","Africa, Latin America","(190, 140, 110)"
,Terra Bronze,Reddish bronze tones,"Deep Bronze, Burnt Sand","South Asia, North Africa","(180, 120, 100)"
Medium-Deep (IIIa),Amber Glow,Golden undertones with deeper brown hues,"Amber Tan, Warm Glow","South Asia, North Africa","(170, 110, 90)"
,Deep Caramel,Rich caramel tones with balanced warmth,"Golden Caramel, Deep Bronze","Caribbean, Latin America","(160, 100, 80)"
,Chocolate Olive,Deep brown tones with a faint olive undertone,"Dusky Olive, Warm Cocoa","Africa, Middle East","(150, 90, 70)"
Olive (IV),Bronze Olive,Olive brown with a subtle golden shimmer,"Bronze Glow, Olive Bronze","Middle East, South Asia","(140, 100, 80)"
,Cool Taupe,Olive tones with a hint of grayish coolness,"Dusky Taupe, Olive Gray","Mediterranean, South Asia","(130, 90, 80)"
,Burnt Gold,Olive tones with a warm golden-red undertone,"Burnt Gold, Warm Bronze","Middle East, North Africa","(150, 100, 70)"
Dark (V),Warm Chestnut,Dark brown with a reddish warmth,"Warm Chestnut, Rich Sienna","Africa, South America","(120, 80, 60)"
,Mocha Glow,Dark tones with a soft mocha warmth,"Mocha Bronze, Coffee Brown","Africa, Caribbean","(100, 70, 50)"
,Redwood Brown,Reddish dark brown,"Redwood Glow, Deep Russet","Latin America, South Asia","(110, 60, 50)"
Dark-Deep (Va),Blackened Copper,Very dark brown with a coppery tint,"Blackened Bronze, Copper Ebony","Africa, Papua New Guinea","(90, 40, 30)"
,Midnight Auburn,Near-black tones with a reddish auburn hue,"Midnight Russet, Warm Auburn","Africa, South Asia","(80, 40, 30)"
,Charred Walnut,Neutral dark brown with smoky tones,"Charred Brown, Walnut Ebony","Africa, Caribbean","(70, 30, 30)"
Very Dark (VI),Onyx Brown,Deep black-brown tones,"Onyx Ebony, Charcoal Bronze","Africa, Oceania","(60, 30, 30)"
,Sapphire Black,Extremely dark tones with a cool blue shimmer,"Sapphire Glow, Midnight Blue","Africa, Oceania","(50, 20, 30)"
Ultra Dark (VII),Jet Shadow,Near-black tones with subtle neutral undertones,"Jet Black, Charcoal Onyx","Africa, Papua New Guinea","(40, 20, 20)"
,Blue Coal,Ultra-dark tones with a bluish tint,"Blue Ebony, Cool Coal","Africa, Oceania","(30, 10, 20)"
Mixed Tones,Rosewood Olive,Olive base with subtle pink and red overtones,"Rosewood Tan, Olive Red","Latin America, Mediterranean","(190, 130, 100)"
,Gold Bronze,Tan skin with a rich gold and bronze mix,"Golden Bronze, Sunset Glow","Middle East, Latin America","(200, 150, 90)"
,Deep Caramel Olive,Caramel tones with olive warmth,"Olive Caramel, Golden Olive","South Asia, North Africa","(170, 100, 70)"
Ultra Pale (0),Ice Peach,Extremely pale with a faint peachy glow,"Ice Peach, Frosted Apricot","Scandinavia, Russia","(255, 245, 240)"
,Alabaster Glow,Near-white with a soft pink undertone,"Blush White, Rosy Frost","Arctic Regions, Northern Europe","(250, 240, 235)"
,Pearl Frost,Pale with a subtle cool pearly sheen,"Frosted Pearl, Cool Opal","Arctic, Nordic Regions","(240, 250, 245)"
Very Light (I),Rosy Cream,Cream tones with a slight pinkish tint,"Cream Rose, Soft Ivory","Northern Europe, Eastern Europe","(255, 230, 220)"
,Champagne Mist,Light tones with a warm champagne hue,"Golden Cream, Warm Pearl","Northern Europe, Australia","(255, 240, 220)"
,Lily White,Very pale tones with a hint of green undertone,"Lily Ivory, Pale Alabaster","Scandinavia, Russia","(245, 250, 240)"
Light (II),Honey Pearl,Fair tones with a soft honey glow,"Warm Beige, Golden Pearl","Western Europe, North America","(245, 220, 200)"
,Soft Coral,Light tones with a pinkish coral warmth,"Peach Coral, Rosy Glow","Southern Europe, North America","(250, 210, 190)"
,Warm Apricot,Light tones with a vibrant apricot undertone,"Apricot Buff, Golden Glow","Southern Europe, Mediterranean","(250, 200, 170)"
Medium-Light (IIa),Sandy Buff,Warm beige tones with a sandy undertone,"Warm Buff, Desert Sandstone","Mediterranean, Latin America","(230, 200, 170)"
,Pale Gold,Beige tones with a golden-yellow tint,"Golden Beige, Warm Cream","Middle East, South Asia","(240, 210, 170)"
,Peach Olive,Beige tones with a faint olive hue,"Olive Peach, Warm Beige","Southern Europe, Latin America","(220, 190, 160)"
Medium (III),Warm Amber,Tan tones with a golden-orange undertone,"Amber Bronze, Golden Tan","Middle East, Latin America","(200, 150, 120)"
,Mocha Sand,Medium tan tones with a neutral mocha base,"Neutral Mocha, Tan Bronze","South Asia, North Africa","(190, 140, 120)"
,Reddish Copper,Tan tones with a reddish-copper glow,"Burnt Copper, Russet Glow","Latin America, Caribbean","(180, 130, 100)"
Medium-Deep (IIIa),Chocolate Gold,Deep brown with a soft golden shimmer,"Golden Cocoa, Warm Chocolate","Caribbean, South America","(170, 110, 90)"
,Caramel Bronze,Caramel tones with a bronze glow,"Bronze Tan, Warm Caramel","South Asia, Middle East","(160, 100, 80)"
,Cinnamon Olive,Deep brown tones with a hint of olive warmth,"Olive Cinnamon, Warm Russet","Africa, Middle East","(150, 90, 70)"
Olive (IV),Deep Taupe,Olive tones with a balanced taupe base,"Warm Taupe, Dusky Beige","Mediterranean, South Asia","(140, 100, 80)"
,Warm Sandstone,Olive tones with a warm sandstone hue,"Golden Taupe, Sandy Bronze","Middle East, South Asia","(150, 110, 80)"
,Rusted Olive,Olive tones with a reddish-brown tint,"Rust Bronze, Olive Russet","South Asia, North Africa","(140, 90, 70)"
Dark (V),Warm Espresso,Deep brown tones with a soft golden warmth,"Espresso Bronze, Warm Cocoa","Africa, South America","(120, 80, 60)"
,Auburn Glow,Dark brown with a reddish-orange undertone,"Warm Auburn, Chestnut Glow","Africa, Caribbean","(110, 70, 50)"
,Deep Sienna,Dark brown with a balanced reddish tint,"Reddish Walnut, Burnt Sienna","Africa, South Asia","(100, 60, 50)"
Dark-Deep (Va),Charcoal Auburn,Very dark tones with a hint of reddish auburn,"Dark Russet, Charcoal Glow","Africa, South Asia","(80, 40, 30)"
,Bronze Ebony,Extremely dark with a faint bronze shimmer,"Ebony Bronze, Deep Charcoal","Africa, Papua New Guinea","(90, 50, 40)"
,Cool Graphite,Dark brown with a subtle grayish tint,"Neutral Graphite, Deep Ebony","Africa, Middle East","(70, 40, 30)"
Very Dark (VI),Black Chestnut,Black-brown tones with a warm reddish glow,"Chestnut Ebony, Midnight Russet","Africa, South America","(60, 30, 30)"
,Jet Indigo,Extremely dark tones with a faint indigo hue,"Indigo Black, Cool Midnight","Africa, Oceania","(50, 20, 30)"
Ultra Dark (VII),Cool Sapphire,Ultra-dark tones with a bluish sapphire shimmer,"Deep Sapphire, Onyx Glow","Africa, Oceania","(40, 10, 20)"
,Warm Coal,Deep black with a golden warmth,"Golden Ebony, Warm Onyx","Africa, Amazonian Regions","(50, 20, 10)"
Mixed Tones,Russet Olive,Olive tones with a soft reddish tint,"Russet Tan, Dusky Bronze","Middle East, North Africa","(180, 120, 100)"
,Golden Rose,Golden tones with a faint pinkish hue,"Warm Rose, Peach Gold","Latin America, Mediterranean","(200, 150, 120)"
,Bronze Honey,Rich bronze tones with a golden honey warmth,"Honey Glow, Warm Bronze","South Asia, North Africa","(170, 110, 90)"
Ultra Pale (0),Pearl Glow,Extremely pale with a subtle pearly sheen,"Pearl Mist, Frosted Glow","Northern Europe, Arctic","(250, 245, 240)"
,Ice Quartz,Almost translucent pale skin with a cool tint,"Cool Quartz, Ice Opal","Scandinavia, Arctic Regions","(240, 250, 255)"
,Moonstone,Pale skin with soft bluish-pink undertones,"Moonlight Pink, Frosted Lilac","Arctic, Nordic Regions","(245, 240, 250)"
Very Light (I),Petal Pink,Pale tones with a fresh pink undertone,"Petal Glow, Rosy Frost","Northern Europe, East Asia","(255, 225, 220)"
,Winter Rose,Cool pink tones with hints of blue,"Frosted Rose, Cool Blush","Scandinavia, Russia","(250, 220, 230)"
,White Almond,Pale tones with faint almond warmth,"Almond Mist, Ivory Glow","Northern Europe, Mediterranean","(255, 240, 220)"
Light (II),Sand Rose,Beige tones with a soft pink overlay,"Sandy Pink, Rosy Beige","Western Europe, North America","(240, 220, 210)"
,Golden Shell,Light skin with a golden shimmer,"Golden Shell, Buff Glow","Southern Europe, Australia","(245, 225, 200)"
,Peach Blossom,Light peachy tones with subtle golden warmth,"Peach Blush, Apricot Glow","Latin America, South Asia","(250, 210, 190)"
Medium-Light (IIa),Vanilla Gold,Creamy beige with a golden hue,"Vanilla Sand, Golden Ivory","Mediterranean, Middle East","(230, 200, 170)"
,Rosy Apricot,Warm apricot tones with soft pink undertones,"Rosy Apricot, Sunset Beige","South Asia, Latin America","(235, 190, 160)"
,Desert Glow,Deeper beige with a sun-kissed warmth,"Desert Sand, Warm Beige","Mediterranean, Middle East","(220, 180, 150)"
Medium (III),Copper Glow,Tan tones with a warm coppery sheen,"Sunset Copper, Golden Tan","South America, Middle East","(200, 140, 120)"
,Mocha Beige,Warm mocha tones with balanced warmth,"Mocha Sand, Cocoa Beige","South Asia, East Asia","(190, 130, 110)"
,Burnished Bronze,Reddish-bronze tones with subtle depth,"Burnished Glow, Deep Tan","Africa, Latin America","(180, 120, 100)"
Medium-Deep (IIIa),Amber Bronze,Rich amber tones with golden undertones,"Golden Amber, Warm Bronze","South Asia, Middle East","(170, 110, 90)"
,Olive Mahogany,Olive tones with warm reddish undertones,"Mahogany Glow, Olive Sand","North Africa, Middle East","(160, 100, 80)"
,Chocolate Sand,Deep brown tones with a subtle olive tint,"Sand Cocoa, Chocolate Olive","Africa, Caribbean","(150, 90, 70)"
Olive (IV),Redwood Olive,Olive tones with a soft reddish-brown warmth,"Redwood Glow, Warm Olive","North Africa, South Asia","(140, 80, 60)"
,Sepia Bronze,Olive tones with a subtle sepia undertone,"Warm Sepia, Deep Bronze","Mediterranean, Middle East","(130, 90, 70)"
,Dusky Gold,Olive tones with golden-red warmth,"Dusky Gold, Burnished Bronze","South Asia, Mediterranean","(150, 110, 70)"
Dark (V),Warm Espresso,Dark brown tones with golden-red highlights,"Warm Espresso, Golden Cocoa","Africa, South America","(120, 70, 50)"
,Deep Sienna,Rich dark tones with red undertones,"Deep Sienna, Mahogany Glow","Latin America, South Asia","(110, 60, 50)"
,Coffee Glow,Soft coffee tones with balanced warmth,"Mocha Brown, Coffee Bronze","Africa, Caribbean","(100, 70, 50)"
Dark-Deep (Va),Ebony Maple,Very dark brown with subtle reddish warmth,"Warm Maple, Ebony Brown","Africa, Papua New Guinea","(80, 40, 30)"
,Charred Copper,Near-black tones with a coppery red sheen,"Charred Bronze, Copper Ebony","Africa, South America","(90, 40, 30)"
,Black Ash,Neutral deep brown with smoky undertones,"Black Ash, Smoky Ebony","Africa, Caribbean","(70, 30, 20)"
Very Dark (VI),Obsidian Onyx,Deep black tones with a faint warm shimmer,"Obsidian Glow, Warm Onyx","Africa, Oceania","(60, 30, 20)"
,Blue Sapphire,Extremely dark tones with a bluish shimmer,"Sapphire Ebony, Midnight Blue","Africa, Oceania","(50, 20, 30)"
,Warm Jet,Black tones with golden highlights,"Jet Glow, Warm Black","Africa, South America","(60, 30, 20)"
Ultra Dark (VII),Midnight Ruby,Jet-black tones with a faint ruby undertone,"Ruby Black, Warm Shadow","Africa, Oceania","(40, 20, 30)"
,Cool Smoke,Ultra-dark tones with a neutral gray balance,"Smoky Onyx, Cool Charcoal","Africa, Papua New Guinea","(30, 20, 20)"
,Blue Ebony,Near-black tones with deep blue undertones,"Midnight Ebony, Blue Black","Africa, Amazonian Regions","(30, 10, 20)"
Mixed Tones,Golden Russet,Warm golden tones with soft red undertones,"Russet Gold, Warm Bronze","Middle East, Latin America","(210, 150, 100)"
,Honey Olive,Honey tones with a subtle olive warmth,"Olive Honey, Golden Buff","South Asia, North Africa","(200, 130, 80)"
,Cinnamon Gold,Cinnamon base with warm golden highlights,"Golden Cinnamon, Warm Tan","Latin America, South Asia","(190, 120, 70)"
