category,Subcategory,Characteristics,Examples,Regions,"Approx. RGB (R,G,B)",RGB_Tuple,Complementary_RGB,Analogous_RGB,Triadic_RGB
,Beige Olive,Balanced light beige with an olive undertone,"Olive Beige, Pale Olive","Mediterranean, East Asia","(210, 180, 160)","(210, 180, 160)","(159, 189, 210)","(210, 204, 159), (210, 159, 164)","(159, 210, 179), (180, 159, 210)"
,Honey Peach,Light tones with a peachy golden warmth,"Honey Peach, Golden Buff","Latin America, South Asia","(230, 200, 160)","(230, 200, 160)","(160, 190, 230)","(225, 230, 160), (230, 165, 160)","(160, 230, 199), (200, 160, 230)"
Medium (III),Sun-Kissed Copper,Tan skin with a rich copper glow,"Warm Copper, Sunset Tan","Middle East, South America","(200, 150, 120)","(200, 150, 120)","(120, 170, 200)","(200, 189, 120), (200, 120, 129)","(120, 200, 149), (150, 120, 200)"
,Cinnamon Sand,Balanced tan tones with a soft cinnamon warmth,"Warm Cinnamon, Golden Sand","Africa, Latin America","(190, 140, 110)","(190, 140, 110)","(110, 160, 190)","(190, 179, 110), (190, 110, 119)","(110, 190, 139), (140, 110, 190)"
,Terra Bronze,Reddish bronze tones,"Deep Bronze, Burnt Sand","South Asia, North Africa","(180, 120, 100)","(180, 120, 100)","(100, 160, 180)","(180, 159, 100), (180, 100, 119)","(100, 180, 119), (120, 100, 180)"
Medium-Deep (IIIa),Amber Glow,Golden undertones with deeper brown hues,"Amber Tan, Warm Glow","South Asia, North Africa","(170, 110, 90)","(170, 110, 90)","(90, 149, 170)","(170, 149, 90), (170, 90, 109)","(90, 170, 109), (110, 90, 170)"
,Deep Caramel,Rich caramel tones with balanced warmth,"Golden Caramel, Deep Bronze","Caribbean, Latin America","(160, 100, 80)","(160, 100, 80)","(80, 140, 160)","(160, 139, 80), (160, 80, 99)","(80, 160, 99), (100, 80, 160)"
,Chocolate Olive,Deep brown tones with a faint olive undertone,"Dusky Olive, Warm Cocoa","Africa, Middle East","(150, 90, 70)","(150, 90, 70)","(70, 130, 150)","(150, 129, 70), (150, 70, 89)","(70, 150, 89), (90, 70, 150)"
Olive (IV),Bronze Olive,Olive brown with a subtle golden shimmer,"Bronze Glow, Olive Bronze","Middle East, South Asia","(140, 100, 80)","(140, 100, 80)","(80, 120, 140)","(140, 129, 80), (140, 80, 89)","(80, 140, 99), (100, 80, 140)"
,Cool Taupe,Olive tones with a hint of grayish coolness,"Dusky Taupe, Olive Gray","Mediterranean, South Asia","(130, 90, 80)","(130, 90, 80)","(80, 119, 130)","(130, 114, 80), (130, 80, 94)","(80, 130, 89), (90, 80, 130)"
,Burnt Gold,Olive tones with a warm golden-red undertone,"Burnt Gold, Warm Bronze","Middle East, North Africa","(150, 100, 70)","(150, 100, 70)","(70, 120, 150)","(150, 139, 70), (150, 70, 79)","(70, 150, 99), (100, 70, 150)"
Dark (V),Warm Chestnut,Dark brown with a reddish warmth,"Warm Chestnut, Rich Sienna","Africa, South America","(120, 80, 60)","(120, 80, 60)","(60, 99, 120)","(120, 109, 60), (120, 60, 69)","(60, 120, 79), (80, 60, 120)"
,Mocha Glow,Dark tones with a soft mocha warmth,"Mocha Bronze, Coffee Brown","Africa, Caribbean","(100, 70, 50)","(100, 70, 50)","(50, 80, 100)","(100, 94, 50), (100, 50, 54)","(50, 100, 69), (70, 50, 100)"
,Redwood Brown,Reddish dark brown,"Redwood Glow, Deep Russet","Latin America, South Asia","(110, 60, 50)","(110, 60, 50)","(49, 99, 110)","(110, 89, 49), (110, 49, 69)","(49, 110, 59), (60, 49, 110)"
Dark-Deep (Va),Blackened Copper,Very dark brown with a coppery tint,"Blackened Bronze, Copper Ebony","Africa, Papua New Guinea","(90, 40, 30)","(90, 40, 30)","(29, 79, 90)","(90, 69, 29), (90, 29, 49)","(29, 90, 39), (40, 29, 90)"
,Midnight Auburn,Near-black tones with a reddish auburn hue,"Midnight Russet, Warm Auburn","Africa, South Asia","(80, 40, 30)","(80, 40, 30)","(30, 69, 80)","(80, 64, 30), (80, 30, 44)","(30, 80, 39), (40, 30, 80)"
,Charred Walnut,Neutral dark brown with smoky tones,"Charred Brown, Walnut Ebony","Africa, Caribbean","(70, 30, 30)","(70, 30, 30)","(29, 70, 70)","(70, 49, 29), (70, 29, 49)","(30, 70, 29), (30, 29, 70)"
Very Dark (VI),Onyx Brown,Deep black-brown tones,"Onyx Ebony, Charcoal Bronze","Africa, Oceania","(60, 30, 30)","(60, 30, 30)","(30, 60, 60)","(60, 44, 30), (60, 30, 44)","(30, 60, 30), (30, 30, 60)"
,Sapphire Black,Extremely dark tones with a cool blue shimmer,"Sapphire Glow, Midnight Blue","Africa, Oceania","(50, 20, 30)","(50, 20, 30)","(20, 50, 40)","(50, 24, 20), (50, 20, 44)","(30, 50, 20), (20, 29, 50)"
Ultra Dark (VII),Jet Shadow,Near-black tones with subtle neutral undertones,"Jet Black, Charcoal Onyx","Africa, Papua New Guinea","(40, 20, 20)","(40, 20, 20)","(20, 40, 40)","(40, 29, 20), (40, 20, 29)","(20, 40, 20), (20, 20, 40)"
,Blue Coal,Ultra-dark tones with a bluish tint,"Blue Ebony, Cool Coal","Africa, Oceania","(30, 10, 20)","(30, 10, 20)","(10, 30, 19)","(30, 10, 10), (30, 10, 29)","(20, 30, 10), (10, 19, 30)"
Mixed Tones,Rosewood Olive,Olive base with subtle pink and red overtones,"Rosewood Tan, Olive Red","Latin America, Mediterranean","(190, 130, 100)","(190, 130, 100)","(100, 160, 190)","(190, 174, 100), (190, 100, 114)","(100, 190, 129), (130, 100, 190)"
,Gold Bronze,Tan skin with a rich gold and bronze mix,"Golden Bronze, Sunset Glow","Middle East, Latin America","(200, 150, 90)","(200, 150, 90)","(90, 139, 200)","(195, 200, 90), (200, 95, 90)","(90, 200, 149), (150, 90, 200)"
,Deep Caramel Olive,Caramel tones with olive warmth,"Olive Caramel, Golden Olive","South Asia, North Africa","(170, 100, 70)","(170, 100, 70)","(70, 139, 170)","(170, 149, 70), (170, 70, 89)","(70, 170, 99), (100, 70, 170)"
Ultra Pale (0),Ice Peach,Extremely pale with a faint peachy glow,"Ice Peach, Frosted Apricot","Scandinavia, Russia","(255, 245, 240)","(255, 245, 240)","(240, 250, 255)","(255, 252, 240), (255, 240, 242)","(240, 255, 244), (245, 240, 255)"
,Alabaster Glow,Near-white with a soft pink undertone,"Blush White, Rosy Frost","Arctic Regions, Northern Europe","(250, 240, 235)","(250, 240, 235)","(235, 244, 250)","(250, 247, 235), (250, 235, 237)","(235, 250, 239), (240, 235, 250)"
,Pearl Frost,Pale with a subtle cool pearly sheen,"Frosted Pearl, Cool Opal","Arctic, Nordic Regions","(240, 250, 245)","(240, 250, 245)","(250, 240, 244)","(240, 250, 249), (240, 250, 240)","(244, 240, 250), (250, 245, 240)"
Very Light (I),Rosy Cream,Cream tones with a slight pinkish tint,"Cream Rose, Soft Ivory","Northern Europe, Eastern Europe","(255, 230, 220)","(255, 230, 220)","(220, 245, 255)","(255, 247, 220), (255, 220, 227)","(220, 255, 229), (230, 220, 255)"
,Champagne Mist,Light tones with a warm champagne hue,"Golden Cream, Warm Pearl","Northern Europe, Australia","(255, 240, 220)","(255, 240, 220)","(220, 235, 255)","(252, 255, 220), (255, 222, 220)","(220, 255, 239), (240, 220, 255)"
,Lily White,Very pale tones with a hint of green undertone,"Lily Ivory, Pale Alabaster","Scandinavia, Russia","(245, 250, 240)","(245, 250, 240)","(244, 240, 250)","(240, 250, 240), (249, 250, 240)","(240, 245, 250), (250, 240, 244)"
Light (II),Honey Pearl,Fair tones with a soft honey glow,"Warm Beige, Golden Pearl","Western Europe, North America","(245, 220, 200)","(245, 220, 200)","(200, 225, 245)","(245, 242, 200), (245, 200, 202)","(200, 245, 219), (220, 200, 245)"
,Soft Coral,Light tones with a pinkish coral warmth,"Peach Coral, Rosy Glow","Southern Europe, North America","(250, 210, 190)","(250, 210, 190)","(190, 229, 250)","(250, 239, 190), (250, 190, 199)","(190, 250, 209), (210, 190, 250)"
,Warm Apricot,Light tones with a vibrant apricot undertone,"Apricot Buff, Golden Glow","Southern Europe, Mediterranean","(250, 200, 170)","(250, 200, 170)","(170, 219, 250)","(250, 239, 170), (250, 170, 179)","(170, 250, 199), (200, 170, 250)"
Medium-Light (IIa),Sandy Buff,Warm beige tones with a sandy undertone,"Warm Buff, Desert Sandstone","Mediterranean, Latin America","(230, 200, 170)","(230, 200, 170)","(170, 200, 230)","(230, 229, 170), (230, 170, 170)","(170, 230, 199), (200, 170, 230)"
,Pale Gold,Beige tones with a golden-yellow tint,"Golden Beige, Warm Cream","Middle East, South Asia","(240, 210, 170)","(240, 210, 170)","(170, 200, 240)","(235, 240, 170), (240, 175, 170)","(170, 240, 209), (210, 170, 240)"
,Peach Olive,Beige tones with a faint olive hue,"Olive Peach, Warm Beige","Southern Europe, Latin America","(220, 190, 160)","(220, 190, 160)","(160, 190, 220)","(220, 219, 160), (220, 160, 160)","(160, 220, 189), (190, 160, 220)"
Medium (III),Warm Amber,Tan tones with a golden-orange undertone,"Amber Bronze, Golden Tan","Middle East, Latin America","(200, 150, 120)","(200, 150, 120)","(120, 170, 200)","(200, 189, 120), (200, 120, 129)","(120, 200, 149), (150, 120, 200)"
,Mocha Sand,Medium tan tones with a neutral mocha base,"Neutral Mocha, Tan Bronze","South Asia, North Africa","(190, 140, 120)","(190, 140, 120)","(120, 170, 190)","(190, 174, 120), (190, 120, 134)","(120, 190, 139), (140, 120, 190)"
,Reddish Copper,Tan tones with a reddish-copper glow,"Burnt Copper, Russet Glow","Latin America, Caribbean","(180, 130, 100)","(180, 130, 100)","(100, 150, 180)","(180, 169, 100), (180, 100, 109)","(100, 180, 129), (130, 100, 180)"
Medium-Deep (IIIa),Chocolate Gold,Deep brown with a soft golden shimmer,"Golden Cocoa, Warm Chocolate","Caribbean, South America","(170, 110, 90)","(170, 110, 90)","(90, 149, 170)","(170, 149, 90), (170, 90, 109)","(90, 170, 109), (110, 90, 170)"
,Caramel Bronze,Caramel tones with a bronze glow,"Bronze Tan, Warm Caramel","South Asia, Middle East","(160, 100, 80)","(160, 100, 80)","(80, 140, 160)","(160, 139, 80), (160, 80, 99)","(80, 160, 99), (100, 80, 160)"
,Cinnamon Olive,Deep brown tones with a hint of olive warmth,"Olive Cinnamon, Warm Russet","Africa, Middle East","(150, 90, 70)","(150, 90, 70)","(70, 130, 150)","(150, 129, 70), (150, 70, 89)","(70, 150, 89), (90, 70, 150)"
Olive (IV),Deep Taupe,Olive tones with a balanced taupe base,"Warm Taupe, Dusky Beige","Mediterranean, South Asia","(140, 100, 80)","(140, 100, 80)","(80, 120, 140)","(140, 129, 80), (140, 80, 89)","(80, 140, 99), (100, 80, 140)"
,Warm Sandstone,Olive tones with a warm sandstone hue,"Golden Taupe, Sandy Bronze","Middle East, South Asia","(150, 110, 80)","(150, 110, 80)","(80, 120, 150)","(150, 144, 80), (150, 80, 84)","(80, 150, 109), (110, 80, 150)"
,Rusted Olive,Olive tones with a reddish-brown tint,"Rust Bronze, Olive Russet","South Asia, North Africa","(140, 90, 70)","(140, 90, 70)","(70, 119, 140)","(140, 124, 70), (140, 70, 84)","(70, 140, 89), (90, 70, 140)"
Dark (V),Warm Espresso,Deep brown tones with a soft golden warmth,"Espresso Bronze, Warm Cocoa","Africa, South America","(120, 80, 60)","(120, 80, 60)","(60, 99, 120)","(120, 109, 60), (120, 60, 69)","(60, 120, 79), (80, 60, 120)"
,Auburn Glow,Dark brown with a reddish-orange undertone,"Warm Auburn, Chestnut Glow","Africa, Caribbean","(110, 70, 50)","(110, 70, 50)","(49, 89, 110)","(110, 99, 49), (110, 49, 59)","(49, 110, 69), (70, 49, 110)"
,Deep Sienna,Dark brown with a balanced reddish tint,"Reddish Walnut, Burnt Sienna","Africa, South Asia","(100, 60, 50)","(100, 60, 50)","(50, 89, 100)","(100, 84, 50), (100, 50, 64)","(50, 100, 59), (60, 50, 100)"
Dark-Deep (Va),Charcoal Auburn,Very dark tones with a hint of reddish auburn,"Dark Russet, Charcoal Glow","Africa, South Asia","(80, 40, 30)","(80, 40, 30)","(30, 69, 80)","(80, 64, 30), (80, 30, 44)","(30, 80, 39), (40, 30, 80)"
,Bronze Ebony,Extremely dark with a faint bronze shimmer,"Ebony Bronze, Deep Charcoal","Africa, Papua New Guinea","(90, 50, 40)","(90, 50, 40)","(40, 80, 90)","(90, 74, 40), (90, 40, 54)","(40, 90, 49), (50, 40, 90)"
,Cool Graphite,Dark brown with a subtle grayish tint,"Neutral Graphite, Deep Ebony","Africa, Middle East","(70, 40, 30)","(70, 40, 30)","(29, 60, 70)","(70, 59, 29), (70, 29, 39)","(29, 70, 39), (40, 29, 70)"
