Subcategory,Skin_Tone_RGB,Makeup_Recommendations
Neutral,"(210, 190, 160)","Foundation shades matching RGB (210, 190, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (205, 210, 159) and RGB (210, 165, 159). Eyeshadow palettes with triadic tones like RGB (159, 210, 189) and RGB (190, 159, 210). Lipstick or blush in complementary shade RGB (159, 179, 210) for bold looks."
Warm,"(240, 200, 150)","Foundation shades matching RGB (240, 200, 150) for a seamless base. Blush and lip colors in analogous shades like RGB (235, 240, 150) and RGB (240, 155, 150). Eyeshadow palettes with triadic tones like RGB (150, 240, 199) and RGB (200, 150, 240). Lipstick or blush in complementary shade RGB (150, 190, 240) for bold looks."
Desert Sand,"(230, 190, 170)","Foundation shades matching RGB (230, 190, 170) for a seamless base. Blush and lip colors in analogous shades like RGB (230, 219, 170) and RGB (230, 170, 179). Eyeshadow palettes with triadic tones like RGB (170, 230, 189) and RGB (190, 170, 230). Lipstick or blush in complementary shade RGB (170, 210, 230) for bold looks."
Honey Beige,"(220, 190, 160)","Foundation shades matching RGB (220, 190, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (220, 219, 160) and RGB (220, 160, 160). Eyeshadow palettes with triadic tones like RGB (160, 220, 189) and RGB (190, 160, 220). Lipstick or blush in complementary shade RGB (160, 190, 220) for bold looks."
Cool,"(200, 160, 150)","Foundation shades matching RGB (200, 160, 150) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 184, 150) and RGB (200, 150, 164). Eyeshadow palettes with triadic tones like RGB (150, 200, 159) and RGB (160, 150, 200). Lipstick or blush in complementary shade RGB (150, 189, 200) for bold looks."
Neutral,"(190, 150, 130)","Foundation shades matching RGB (190, 150, 130) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 179, 130) and RGB (190, 130, 139). Eyeshadow palettes with triadic tones like RGB (130, 190, 149) and RGB (150, 130, 190). Lipstick or blush in complementary shade RGB (130, 170, 190) for bold looks."
Warm,"(210, 160, 110)","Foundation shades matching RGB (210, 160, 110) for a seamless base. Blush and lip colors in analogous shades like RGB (210, 209, 110) and RGB (210, 110, 110). Eyeshadow palettes with triadic tones like RGB (110, 210, 159) and RGB (160, 110, 210). Lipstick or blush in complementary shade RGB (110, 159, 210) for bold looks."
Copper Beige,"(200, 140, 110)","Foundation shades matching RGB (200, 140, 110) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 184, 110) and RGB (200, 110, 124). Eyeshadow palettes with triadic tones like RGB (110, 200, 139) and RGB (140, 110, 200). Lipstick or blush in complementary shade RGB (110, 170, 200) for bold looks."
Terra-Cotta,"(190, 120, 100)","Foundation shades matching RGB (190, 120, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 164, 100) and RGB (190, 100, 124). Eyeshadow palettes with triadic tones like RGB (100, 190, 119) and RGB (120, 100, 190). Lipstick or blush in complementary shade RGB (100, 170, 190) for bold looks."
Cool,"(170, 120, 110)","Foundation shades matching RGB (170, 120, 110) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 110) and RGB (170, 110, 129). Eyeshadow palettes with triadic tones like RGB (110, 170, 119) and RGB (120, 110, 170). Lipstick or blush in complementary shade RGB (110, 159, 170) for bold looks."
Neutral,"(160, 120, 100)","Foundation shades matching RGB (160, 120, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (160, 149, 100) and RGB (160, 100, 109). Eyeshadow palettes with triadic tones like RGB (100, 160, 119) and RGB (120, 100, 160). Lipstick or blush in complementary shade RGB (100, 140, 160) for bold looks."
Warm,"(180, 140, 90)","Foundation shades matching RGB (180, 140, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (175, 180, 90) and RGB (180, 95, 90). Eyeshadow palettes with triadic tones like RGB (90, 180, 139) and RGB (140, 90, 180). Lipstick or blush in complementary shade RGB (90, 130, 180) for bold looks."
Golden Mahogany,"(160, 110, 80)","Foundation shades matching RGB (160, 110, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (160, 149, 80) and RGB (160, 80, 89). Eyeshadow palettes with triadic tones like RGB (80, 160, 109) and RGB (110, 80, 160). Lipstick or blush in complementary shade RGB (80, 130, 160) for bold looks."
Deep Honey,"(170, 100, 80)","Foundation shades matching RGB (170, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 144, 80) and RGB (170, 80, 104). Eyeshadow palettes with triadic tones like RGB (80, 170, 99) and RGB (100, 80, 170). Lipstick or blush in complementary shade RGB (80, 149, 170) for bold looks."
Cool,"(140, 100, 90)","Foundation shades matching RGB (140, 100, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (140, 124, 90) and RGB (140, 90, 104). Eyeshadow palettes with triadic tones like RGB (90, 140, 99) and RGB (100, 90, 140). Lipstick or blush in complementary shade RGB (90, 130, 140) for bold looks."
Neutral,"(130, 90, 80)","Foundation shades matching RGB (130, 90, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (130, 114, 80) and RGB (130, 80, 94). Eyeshadow palettes with triadic tones like RGB (80, 130, 89) and RGB (90, 80, 130). Lipstick or blush in complementary shade RGB (80, 119, 130) for bold looks."
Warm,"(150, 110, 70)","Foundation shades matching RGB (150, 110, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 149, 70) and RGB (150, 70, 70). Eyeshadow palettes with triadic tones like RGB (70, 150, 109) and RGB (110, 70, 150). Lipstick or blush in complementary shade RGB (70, 110, 150) for bold looks."
Golden Olive,"(140, 110, 70)","Foundation shades matching RGB (140, 110, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (135, 140, 70) and RGB (140, 75, 70). Eyeshadow palettes with triadic tones like RGB (70, 140, 109) and RGB (110, 70, 140). Lipstick or blush in complementary shade RGB (70, 100, 140) for bold looks."
Cool Olive,"(120, 90, 70)","Foundation shades matching RGB (120, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (120, 114, 70) and RGB (120, 70, 74). Eyeshadow palettes with triadic tones like RGB (70, 120, 89) and RGB (90, 70, 120). Lipstick or blush in complementary shade RGB (70, 100, 120) for bold looks."
Cool,"(100, 60, 50)","Foundation shades matching RGB (100, 60, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (100, 84, 50) and RGB (100, 50, 64). Eyeshadow palettes with triadic tones like RGB (50, 100, 59) and RGB (60, 50, 100). Lipstick or blush in complementary shade RGB (50, 89, 100) for bold looks."
Neutral,"(90, 50, 40)","Foundation shades matching RGB (90, 50, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (90, 74, 40) and RGB (90, 40, 54). Eyeshadow palettes with triadic tones like RGB (40, 90, 49) and RGB (50, 40, 90). Lipstick or blush in complementary shade RGB (40, 80, 90) for bold looks."
Warm,"(110, 70, 50)","Foundation shades matching RGB (110, 70, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (110, 99, 49) and RGB (110, 49, 59). Eyeshadow palettes with triadic tones like RGB (49, 110, 69) and RGB (70, 49, 110). Lipstick or blush in complementary shade RGB (49, 89, 110) for bold looks."
Warm Sienna,"(120, 70, 60)","Foundation shades matching RGB (120, 70, 60) for a seamless base. Blush and lip colors in analogous shades like RGB (120, 99, 60) and RGB (120, 60, 79). Eyeshadow palettes with triadic tones like RGB (60, 120, 69) and RGB (70, 60, 120). Lipstick or blush in complementary shade RGB (60, 109, 120) for bold looks."
Espresso Brown,"(90, 50, 40)","Foundation shades matching RGB (90, 50, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (90, 74, 40) and RGB (90, 40, 54). Eyeshadow palettes with triadic tones like RGB (40, 90, 49) and RGB (50, 40, 90). Lipstick or blush in complementary shade RGB (40, 80, 90) for bold looks."
Cool,"(70, 40, 40)","Foundation shades matching RGB (70, 40, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 54, 40) and RGB (70, 40, 54). Eyeshadow palettes with triadic tones like RGB (40, 70, 40) and RGB (40, 40, 70). Lipstick or blush in complementary shade RGB (40, 70, 70) for bold looks."
Neutral,"(60, 30, 30)","Foundation shades matching RGB (60, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 44, 30) and RGB (60, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 60, 30) and RGB (30, 30, 60). Lipstick or blush in complementary shade RGB (30, 60, 60) for bold looks."
Warm,"(80, 50, 40)","Foundation shades matching RGB (80, 50, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 69, 40) and RGB (80, 40, 49). Eyeshadow palettes with triadic tones like RGB (40, 80, 49) and RGB (50, 40, 80). Lipstick or blush in complementary shade RGB (40, 70, 80) for bold looks."
Deep Mahogany,"(80, 40, 40)","Foundation shades matching RGB (80, 40, 40) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 59, 40) and RGB (80, 40, 59). Eyeshadow palettes with triadic tones like RGB (40, 80, 40) and RGB (40, 40, 80). Lipstick or blush in complementary shade RGB (40, 80, 80) for bold looks."
Burnt Umber,"(70, 30, 30)","Foundation shades matching RGB (70, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 49, 29) and RGB (70, 29, 49). Eyeshadow palettes with triadic tones like RGB (30, 70, 29) and RGB (30, 29, 70). Lipstick or blush in complementary shade RGB (29, 70, 70) for bold looks."
Cool,"(50, 30, 30)","Foundation shades matching RGB (50, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 39, 30) and RGB (50, 30, 39). Eyeshadow palettes with triadic tones like RGB (30, 50, 30) and RGB (30, 30, 50). Lipstick or blush in complementary shade RGB (30, 50, 50) for bold looks."
Neutral,"(40, 20, 20)","Foundation shades matching RGB (40, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 29, 20) and RGB (40, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 40, 20) and RGB (20, 20, 40). Lipstick or blush in complementary shade RGB (20, 40, 40) for bold looks."
Warm,"(60, 40, 30)","Foundation shades matching RGB (60, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 54, 30) and RGB (60, 30, 34). Eyeshadow palettes with triadic tones like RGB (30, 60, 39) and RGB (40, 30, 60). Lipstick or blush in complementary shade RGB (30, 49, 60) for bold looks."
Velvet Ebony,"(50, 30, 20)","Foundation shades matching RGB (50, 30, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 44, 20) and RGB (50, 20, 24). Eyeshadow palettes with triadic tones like RGB (20, 50, 29) and RGB (30, 20, 50). Lipstick or blush in complementary shade RGB (20, 40, 50) for bold looks."
Obsidian,"(40, 20, 20)","Foundation shades matching RGB (40, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 29, 20) and RGB (40, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 40, 20) and RGB (20, 20, 40). Lipstick or blush in complementary shade RGB (20, 40, 40) for bold looks."
Cool,"(30, 20, 20)","Foundation shades matching RGB (30, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 24, 20) and RGB (30, 20, 24). Eyeshadow palettes with triadic tones like RGB (20, 30, 20) and RGB (20, 20, 30). Lipstick or blush in complementary shade RGB (20, 30, 30) for bold looks."
Neutral,"(20, 10, 10)","Foundation shades matching RGB (20, 10, 10) for a seamless base. Blush and lip colors in analogous shades like RGB (20, 14, 10) and RGB (20, 10, 14). Eyeshadow palettes with triadic tones like RGB (10, 20, 10) and RGB (10, 10, 20). Lipstick or blush in complementary shade RGB (10, 20, 20) for bold looks."
Warm,"(40, 20, 10)","Foundation shades matching RGB (40, 20, 10) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 34, 10) and RGB (40, 10, 14). Eyeshadow palettes with triadic tones like RGB (10, 40, 19) and RGB (20, 10, 40). Lipstick or blush in complementary shade RGB (10, 29, 40) for bold looks."
Deep Jet,"(30, 10, 20)","Foundation shades matching RGB (30, 10, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 10, 10) and RGB (30, 10, 29). Eyeshadow palettes with triadic tones like RGB (20, 30, 10) and RGB (10, 19, 30). Lipstick or blush in complementary shade RGB (10, 30, 19) for bold looks."
Shadow Black,"(20, 10, 10)","Foundation shades matching RGB (20, 10, 10) for a seamless base. Blush and lip colors in analogous shades like RGB (20, 14, 10) and RGB (20, 10, 14). Eyeshadow palettes with triadic tones like RGB (10, 20, 10) and RGB (10, 10, 20). Lipstick or blush in complementary shade RGB (10, 20, 20) for bold looks."
Golden Tan with Pink,"(240, 180, 150)","Foundation shades matching RGB (240, 180, 150) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 224, 150) and RGB (240, 150, 164). Eyeshadow palettes with triadic tones like RGB (150, 240, 179) and RGB (180, 150, 240). Lipstick or blush in complementary shade RGB (150, 210, 240) for bold looks."
Deep Olive with Red,"(180, 100, 90)","Foundation shades matching RGB (180, 100, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (180, 144, 90) and RGB (180, 90, 124). Eyeshadow palettes with triadic tones like RGB (90, 180, 99) and RGB (100, 90, 180). Lipstick or blush in complementary shade RGB (90, 170, 180) for bold looks."
Light Tan with Olive,"(200, 170, 140)","Foundation shades matching RGB (200, 170, 140) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 199, 140) and RGB (200, 140, 140). Eyeshadow palettes with triadic tones like RGB (140, 200, 169) and RGB (170, 140, 200). Lipstick or blush in complementary shade RGB (140, 170, 200) for bold looks."
Frosted Peach,"(255, 240, 230)","Foundation shades matching RGB (255, 240, 230) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 252, 230) and RGB (255, 230, 232). Eyeshadow palettes with triadic tones like RGB (230, 255, 239) and RGB (240, 230, 255). Lipstick or blush in complementary shade RGB (230, 245, 255) for bold looks."
Arctic Alabaster,"(250, 250, 245)","Foundation shades matching RGB (250, 250, 245) for a seamless base. Blush and lip colors in analogous shades like RGB (247, 250, 245) and RGB (250, 247, 245). Eyeshadow palettes with triadic tones like RGB (245, 250, 249) and RGB (250, 245, 249). Lipstick or blush in complementary shade RGB (245, 245, 250) for bold looks."
Snow Glow,"(240, 250, 250)","Foundation shades matching RGB (240, 250, 250) for a seamless base. Blush and lip colors in analogous shades like RGB (240, 245, 250) and RGB (240, 250, 245). Eyeshadow palettes with triadic tones like RGB (249, 240, 250) and RGB (249, 250, 240). Lipstick or blush in complementary shade RGB (250, 240, 240) for bold looks."
Cream Pearl,"(245, 235, 225)","Foundation shades matching RGB (245, 235, 225) for a seamless base. Blush and lip colors in analogous shades like RGB (245, 244, 225) and RGB (245, 225, 225). Eyeshadow palettes with triadic tones like RGB (225, 245, 234) and RGB (235, 225, 245). Lipstick or blush in complementary shade RGB (225, 235, 245) for bold looks."
Porcelain Pink,"(255, 220, 215)","Foundation shades matching RGB (255, 220, 215) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 239, 215) and RGB (255, 215, 229). Eyeshadow palettes with triadic tones like RGB (215, 255, 219) and RGB (220, 215, 255). Lipstick or blush in complementary shade RGB (215, 250, 255) for bold looks."
Warm Sand,"(255, 230, 210)","Foundation shades matching RGB (255, 230, 210) for a seamless base. Blush and lip colors in analogous shades like RGB (255, 252, 210) and RGB (255, 210, 212). Eyeshadow palettes with triadic tones like RGB (210, 255, 229) and RGB (230, 210, 255). Lipstick or blush in complementary shade RGB (210, 235, 255) for bold looks."
Rose Gold,"(245, 215, 200)","Foundation shades matching RGB (245, 215, 200) for a seamless base. Blush and lip colors in analogous shades like RGB (245, 237, 200) and RGB (245, 200, 207). Eyeshadow palettes with triadic tones like RGB (200, 245, 214) and RGB (215, 200, 245). Lipstick or blush in complementary shade RGB (200, 230, 245) for bold looks."
Honey Buff,"(240, 220, 190)","Foundation shades matching RGB (240, 220, 190) for a seamless base. Blush and lip colors in analogous shades like RGB (235, 240, 190) and RGB (240, 195, 190). Eyeshadow palettes with triadic tones like RGB (190, 240, 219) and RGB (220, 190, 240). Lipstick or blush in complementary shade RGB (190, 209, 240) for bold looks."
Apricot Beige,"(250, 210, 180)","Foundation shades matching RGB (250, 210, 180) for a seamless base. Blush and lip colors in analogous shades like RGB (250, 244, 180) and RGB (250, 180, 184). Eyeshadow palettes with triadic tones like RGB (180, 250, 209) and RGB (210, 180, 250). Lipstick or blush in complementary shade RGB (180, 220, 250) for bold looks."
Sandstone,"(220, 190, 160)","Foundation shades matching RGB (220, 190, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (220, 219, 160) and RGB (220, 160, 160). Eyeshadow palettes with triadic tones like RGB (160, 220, 189) and RGB (190, 160, 220). Lipstick or blush in complementary shade RGB (160, 190, 220) for bold looks."
Beige Olive,"(210, 180, 160)","Foundation shades matching RGB (210, 180, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (210, 204, 159) and RGB (210, 159, 164). Eyeshadow palettes with triadic tones like RGB (159, 210, 179) and RGB (180, 159, 210). Lipstick or blush in complementary shade RGB (159, 189, 210) for bold looks."
Honey Peach,"(230, 200, 160)","Foundation shades matching RGB (230, 200, 160) for a seamless base. Blush and lip colors in analogous shades like RGB (225, 230, 160) and RGB (230, 165, 160). Eyeshadow palettes with triadic tones like RGB (160, 230, 199) and RGB (200, 160, 230). Lipstick or blush in complementary shade RGB (160, 190, 230) for bold looks."
Sun-Kissed Copper,"(200, 150, 120)","Foundation shades matching RGB (200, 150, 120) for a seamless base. Blush and lip colors in analogous shades like RGB (200, 189, 120) and RGB (200, 120, 129). Eyeshadow palettes with triadic tones like RGB (120, 200, 149) and RGB (150, 120, 200). Lipstick or blush in complementary shade RGB (120, 170, 200) for bold looks."
Cinnamon Sand,"(190, 140, 110)","Foundation shades matching RGB (190, 140, 110) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 179, 110) and RGB (190, 110, 119). Eyeshadow palettes with triadic tones like RGB (110, 190, 139) and RGB (140, 110, 190). Lipstick or blush in complementary shade RGB (110, 160, 190) for bold looks."
Terra Bronze,"(180, 120, 100)","Foundation shades matching RGB (180, 120, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (180, 159, 100) and RGB (180, 100, 119). Eyeshadow palettes with triadic tones like RGB (100, 180, 119) and RGB (120, 100, 180). Lipstick or blush in complementary shade RGB (100, 160, 180) for bold looks."
Amber Glow,"(170, 110, 90)","Foundation shades matching RGB (170, 110, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 90) and RGB (170, 90, 109). Eyeshadow palettes with triadic tones like RGB (90, 170, 109) and RGB (110, 90, 170). Lipstick or blush in complementary shade RGB (90, 149, 170) for bold looks."
Deep Caramel,"(160, 100, 80)","Foundation shades matching RGB (160, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (160, 139, 80) and RGB (160, 80, 99). Eyeshadow palettes with triadic tones like RGB (80, 160, 99) and RGB (100, 80, 160). Lipstick or blush in complementary shade RGB (80, 140, 160) for bold looks."
Chocolate Olive,"(150, 90, 70)","Foundation shades matching RGB (150, 90, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 129, 70) and RGB (150, 70, 89). Eyeshadow palettes with triadic tones like RGB (70, 150, 89) and RGB (90, 70, 150). Lipstick or blush in complementary shade RGB (70, 130, 150) for bold looks."
Bronze Olive,"(140, 100, 80)","Foundation shades matching RGB (140, 100, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (140, 129, 80) and RGB (140, 80, 89). Eyeshadow palettes with triadic tones like RGB (80, 140, 99) and RGB (100, 80, 140). Lipstick or blush in complementary shade RGB (80, 120, 140) for bold looks."
Cool Taupe,"(130, 90, 80)","Foundation shades matching RGB (130, 90, 80) for a seamless base. Blush and lip colors in analogous shades like RGB (130, 114, 80) and RGB (130, 80, 94). Eyeshadow palettes with triadic tones like RGB (80, 130, 89) and RGB (90, 80, 130). Lipstick or blush in complementary shade RGB (80, 119, 130) for bold looks."
Burnt Gold,"(150, 100, 70)","Foundation shades matching RGB (150, 100, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (150, 139, 70) and RGB (150, 70, 79). Eyeshadow palettes with triadic tones like RGB (70, 150, 99) and RGB (100, 70, 150). Lipstick or blush in complementary shade RGB (70, 120, 150) for bold looks."
Warm Chestnut,"(120, 80, 60)","Foundation shades matching RGB (120, 80, 60) for a seamless base. Blush and lip colors in analogous shades like RGB (120, 109, 60) and RGB (120, 60, 69). Eyeshadow palettes with triadic tones like RGB (60, 120, 79) and RGB (80, 60, 120). Lipstick or blush in complementary shade RGB (60, 99, 120) for bold looks."
Mocha Glow,"(100, 70, 50)","Foundation shades matching RGB (100, 70, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (100, 94, 50) and RGB (100, 50, 54). Eyeshadow palettes with triadic tones like RGB (50, 100, 69) and RGB (70, 50, 100). Lipstick or blush in complementary shade RGB (50, 80, 100) for bold looks."
Redwood Brown,"(110, 60, 50)","Foundation shades matching RGB (110, 60, 50) for a seamless base. Blush and lip colors in analogous shades like RGB (110, 89, 49) and RGB (110, 49, 69). Eyeshadow palettes with triadic tones like RGB (49, 110, 59) and RGB (60, 49, 110). Lipstick or blush in complementary shade RGB (49, 99, 110) for bold looks."
Blackened Copper,"(90, 40, 30)","Foundation shades matching RGB (90, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (90, 69, 29) and RGB (90, 29, 49). Eyeshadow palettes with triadic tones like RGB (29, 90, 39) and RGB (40, 29, 90). Lipstick or blush in complementary shade RGB (29, 79, 90) for bold looks."
Midnight Auburn,"(80, 40, 30)","Foundation shades matching RGB (80, 40, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (80, 64, 30) and RGB (80, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 80, 39) and RGB (40, 30, 80). Lipstick or blush in complementary shade RGB (30, 69, 80) for bold looks."
Charred Walnut,"(70, 30, 30)","Foundation shades matching RGB (70, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (70, 49, 29) and RGB (70, 29, 49). Eyeshadow palettes with triadic tones like RGB (30, 70, 29) and RGB (30, 29, 70). Lipstick or blush in complementary shade RGB (29, 70, 70) for bold looks."
Onyx Brown,"(60, 30, 30)","Foundation shades matching RGB (60, 30, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (60, 44, 30) and RGB (60, 30, 44). Eyeshadow palettes with triadic tones like RGB (30, 60, 30) and RGB (30, 30, 60). Lipstick or blush in complementary shade RGB (30, 60, 60) for bold looks."
Sapphire Black,"(50, 20, 30)","Foundation shades matching RGB (50, 20, 30) for a seamless base. Blush and lip colors in analogous shades like RGB (50, 24, 20) and RGB (50, 20, 44). Eyeshadow palettes with triadic tones like RGB (30, 50, 20) and RGB (20, 29, 50). Lipstick or blush in complementary shade RGB (20, 50, 40) for bold looks."
Jet Shadow,"(40, 20, 20)","Foundation shades matching RGB (40, 20, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (40, 29, 20) and RGB (40, 20, 29). Eyeshadow palettes with triadic tones like RGB (20, 40, 20) and RGB (20, 20, 40). Lipstick or blush in complementary shade RGB (20, 40, 40) for bold looks."
Blue Coal,"(30, 10, 20)","Foundation shades matching RGB (30, 10, 20) for a seamless base. Blush and lip colors in analogous shades like RGB (30, 10, 10) and RGB (30, 10, 29). Eyeshadow palettes with triadic tones like RGB (20, 30, 10) and RGB (10, 19, 30). Lipstick or blush in complementary shade RGB (10, 30, 19) for bold looks."
Rosewood Olive,"(190, 130, 100)","Foundation shades matching RGB (190, 130, 100) for a seamless base. Blush and lip colors in analogous shades like RGB (190, 174, 100) and RGB (190, 100, 114). Eyeshadow palettes with triadic tones like RGB (100, 190, 129) and RGB (130, 100, 190). Lipstick or blush in complementary shade RGB (100, 160, 190) for bold looks."
Gold Bronze,"(200, 150, 90)","Foundation shades matching RGB (200, 150, 90) for a seamless base. Blush and lip colors in analogous shades like RGB (195, 200, 90) and RGB (200, 95, 90). Eyeshadow palettes with triadic tones like RGB (90, 200, 149) and RGB (150, 90, 200). Lipstick or blush in complementary shade RGB (90, 139, 200) for bold looks."
Deep Caramel Olive,"(170, 100, 70)","Foundation shades matching RGB (170, 100, 70) for a seamless base. Blush and lip colors in analogous shades like RGB (170, 149, 70) and RGB (170, 70, 89). Eyeshadow palettes with triadic tones like RGB (70, 170, 99) and RGB (100, 70, 170). Lipstick or blush in complementary shade RGB (70, 139, 170) for bold looks."
